id,name,contact_name,address,tax_id,phone,email,is_active,created_at,nick_name
1,Your Perfect Floors,,,,,,true,2025-11-17 19:37:26.520355,YPF
2,First Atlanta Floors,,,,,,true,2025-11-17 19:37:26.520355,FAF
3,GAPRO,,,,,,true,2025-11-17 19:37:26.520355,GAPRO
4,Home Depot,,,,,,true,2025-11-17 19:37:26.520355,HD
5,"  NStyle",,,,,,true,2025-11-17 19:37:26.520355,NStyle
6,Prolex,,,,,,true,2025-11-17 19:37:26.520355,Prolex
7,Floor & Decor,,,,,,true,2025-11-17 19:37:26.520355,F&D
8,DDCC,,,,,,true,2025-11-17 19:37:26.520355,DDCC
9,Dream Weaver,,,,,,true,2025-11-17 19:37:26.520355,DW
10,BestFit Floors,,,,,,true,2025-11-17 19:37:26.520355,BestFit
11,B2B,,,,,,true,2025-11-17 19:37:26.520355,B2B
12,StairWorx,,,,,,true,2025-11-17 19:37:26.520355,StairWorx
13,Sherwin Williams,,,,,,true,2025-11-17 19:37:26.520355,Sherwin
14,Lowes,,,,,,true,2025-11-17 19:37:26.520355,Lowes
15,Relative Floor Worx,,,,,,true,2025-11-17 19:37:26.520355,Relative
16,Discount Flooring,,,,,,true,2025-11-17 19:37:26.520355,DiscountF
17,"  Southern Stair Case",,,,,,true,2025-11-17 19:37:26.520355,Southern Stair
18,Lumber Liquidators,,,,,,true,2025-11-17 19:37:26.520355,LLFlooring
19,NDM,,,,,,true,2025-11-17 19:37:26.520355,NDM
20,MATK,,,,,,true,2025-11-18 21:03:42,MATK